# energy dos(up) dos(down)
-1.975290000000000035e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.973970000000000269e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.972640000000000171e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.971310000000000073e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.969979999999999976e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.968650000000000233e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.967320000000000135e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.966000000000000014e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.964670000000000272e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.963340000000000174e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.962010000000000076e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.960679999999999978e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.959350000000000236e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.958030000000000115e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.956700000000000017e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.955370000000000275e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.954040000000000177e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.952710000000000079e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.951379999999999981e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.950060000000000215e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.948730000000000118e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.947400000000000020e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.946070000000000277e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.944740000000000180e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.943410000000000082e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.942079999999999984e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.940760000000000218e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.939430000000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.938100000000000023e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.936770000000000280e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.935440000000000182e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.934110000000000085e+01 0.000000000000000000e+00 -0.000000000000000000e+00
